GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,111,1,8,1,24,1,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,110,215,11,8,29,61,12,9,4,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,77,0,6,0,29,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,40,22,8,0,10,9,9,4,5,4
parking-system,com.parkit.parkingsystem.model,Vehicle,10,7,0,0,4,3,3,2,3,2
parking-system,com.parkit.parkingsystem.model,Ticket,13,46,0,0,5,18,4,13,4,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.dao,TicketDAO,231,4,6,0,54,1,7,1,4,1
parking-system,com.parkit.parkingsystem.dao,VehicleDAO,25,158,2,2,10,48,2,7,0,7
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,148,4,6,0,42,1,7,1,4,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,53,7,6,0,24,2,7,2,4,2
